gender;SeniorCitizen;Partner;Dependents;tenure;customerID;Churn
Female;0;No;Yes;18;0516-VRYBW;Yes
Female;0;No;No;5;0516-WJVXC;Yes
Female;0;Yes;Yes;20;0519-DRGTI;No
Female;0;No;No;1;0519-XUZJU;Yes
Male;0;No;No;35;0520-FDVVT;Yes
Female;1;No;No;52;0523-VNGTF;No
Female;0;Yes;No;30;0524-IAVZO;Yes
Male;0;Yes;No;72;0526-SXDJP;No
Male;1;No;No;15;0529-ONKER;Yes
Male;0;No;Yes;70;0530-IJVDB;No
Male;0;No;Yes;66;0531-XBKMM;No
Male;1;Yes;No;55;0531-ZZJWQ;No
Female;1;Yes;No;55;0533-BNWKF;Yes
Male;1;Yes;No;57;0533-UCAAU;No
Female;0;Yes;No;72;0536-ACXIP;No
Female;0;Yes;No;28;0536-BGFMZ;No
Male;0;Yes;No;54;0536-ESJEP;No
Male;1;Yes;Yes;24;0537-QYZZN;No
Female;0;Yes;No;2;0541-FITGH;No
Male;0;No;Yes;12;0547-HURJB;No
Male;1;No;No;51;0549-CYCQN;No
Male;0;No;No;13;0550-DCXLH;No
Male;0;No;No;58;0556-FJEGU;No
Female;0;Yes;Yes;18;0557-ASKVU;No
Female;0;Yes;No;29;0559-CKHUS;No
Female;0;Yes;Yes;72;0562-FGDCR;No
Male;0;Yes;Yes;71;0562-HKHML;No
Female;0;No;No;70;0562-KBDVM;No
Male;0;No;No;9;0564-JJHGS;Yes
Female;0;Yes;Yes;20;0564-MUUQK;No
Male;0;No;No;69;0565-IYCGT;Yes
Male;0;No;No;63;0565-JUPYD;No
Female;0;No;No;7;0567-GGCAC;No
Female;0;Yes;Yes;69;0567-XRHCU;No
Male;0;Yes;Yes;5;0568-ONFPC;Yes
Female;0;No;No;9;0570-BFQHT;No
Female;0;Yes;Yes;46;0572-ZJKLT;No
Male;1;Yes;No;60;0575-CUQOV;No
Male;1;Yes;No;27;0576-WNXXC;Yes
Female;0;Yes;No;16;0577-WHMEV;No
Female;0;Yes;Yes;22;0578-SKVMF;Yes
Female;0;Yes;Yes;41;0580-PIQHM;No
Female;1;No;No;4;0581-BXBUB;No
Female;0;No;No;24;0581-MDMPW;No
Female;0;No;No;38;0582-AVCLN;No
Female;0;No;No;25;0584-BJQGZ;No
Male;0;Yes;No;40;0585-EGDDA;No
Female;0;No;No;8;0587-DMGBH;Yes
Male;0;Yes;Yes;13;0594-UFTUL;No
Male;0;Yes;Yes;64;0595-ITUDF;No
Female;0;Yes;Yes;62;0596-BQCEQ;Yes
Female;0;Yes;No;20;0599-XNYDO;No
Male;0;Yes;No;14;0601-WZHJF;Yes
Female;0;No;No;57;0602-DDUML;No
Male;0;No;Yes;12;0603-OLQDC;No
Female;0;Yes;Yes;59;0603-TPMIB;No
Female;0;Yes;Yes;59;0604-THJFP;No
Male;0;No;Yes;53;0607-DAAHE;Yes
Male;0;Yes;Yes;45;0607-MVMGC;No
Male;0;Yes;No;50;0608-JDVEC;No
Male;0;Yes;No;20;0611-DFXKO;Yes
Female;1;No;No;1;0612-RTZZA;Yes
Female;0;Yes;Yes;70;0613-WUXUM;No
Male;1;Yes;No;1;0616-ATFGB;Yes
Female;0;Yes;No;64;0617-AQNWT;Yes
Male;0;No;Yes;49;0617-FHSGK;Yes
Male;0;No;Yes;28;0618-XWMSS;Yes
Male;0;Yes;No;72;0619-OLYUR;No
Female;0;No;No;13;0620-DLSLK;No
Male;0;Yes;Yes;4;0620-XEFWH;No
Female;0;No;No;53;0621-CXBKL;No
Female;0;Yes;No;63;0621-HJWXJ;No
Female;0;No;No;10;0621-JFHOL;No
Male;0;Yes;No;56;0621-TSSMU;No
Male;0;No;No;10;0621-TWIEM;Yes
Male;0;No;No;65;0623-EJQEG;No
Female;0;No;No;1;0623-GDISB;No
Female;1;No;No;21;0623-IIHUG;Yes
Female;0;Yes;Yes;29;0625-AFOHS;No
Female;0;Yes;No;72;0626-QXNGV;No
Male;0;Yes;Yes;22;0628-CNQRM;Yes
Female;0;No;No;23;0634-SZPQA;Yes
Male;0;Yes;No;40;0635-WKOLD;No
Male;0;No;No;2;0637-KVDLV;Yes
Male;0;Yes;Yes;13;0637-UBJRP;Yes
Female;0;No;No;16;0637-YLETY;Yes
Female;0;No;No;67;0639-TSIQW;Yes
Male;0;Yes;Yes;72;0640-YJTPY;No
Male;0;No;No;3;0641-EVBOJ;No
Female;1;Yes;No;47;0643-OKLRP;Yes
Male;1;No;No;4;0644-OQMDK;No
Female;1;No;No;18;0650-BWOZN;No
Male;0;Yes;Yes;21;0654-HMSHN;Yes
Female;0;Yes;Yes;62;0654-PQKDW;No
Male;0;No;No;7;0655-RBDUG;Yes
Male;0;No;No;29;0655-YDGFJ;No
Female;0;Yes;No;48;0657-DOGUM;No
Male;0;Yes;Yes;53;0661-KBKPA;No
Female;0;Yes;Yes;6;0661-KQHNK;No
Male;0;Yes;No;22;0661-WCQNQ;No
Female;1;No;No;1;0661-XEYAN;Yes
Male;0;Yes;No;72;0665-XHDJU;No
Male;1;Yes;No;34;0666-UXTJO;No
Female;0;Yes;No;48;0667-NSRGI;No
Female;0;Yes;No;21;0668-OGMHD;No
Male;0;No;No;71;0670-ANMUU;No
Female;0;No;No;1;0670-KDOMA;No
Male;0;No;No;1;0673-IGUQO;No
Male;1;Yes;No;32;0674-DGMAQ;No
Female;0;No;No;1;0674-EYYZV;No
Male;0;No;No;63;0674-GCDXG;No
Female;0;Yes;Yes;72;0675-NCDYU;No
Female;0;No;No;53;0678-RLHVP;No
Female;1;Yes;Yes;1;0679-IDSTG;Yes
Male;0;Yes;Yes;50;0679-TDGAK;No
Male;0;Yes;No;15;0680-DFNNY;Yes
Female;0;Yes;No;21;0682-USIXD;No
Male;0;Yes;No;1;0684-AOSIH;Yes
Female;1;No;No;2;0685-MLYYM;Yes
Male;0;Yes;Yes;65;0687-ZVTHB;Yes
Female;0;Yes;Yes;52;0689-DSXGL;No
Male;0;No;No;13;0689-NKYLF;Yes
Male;0;No;No;4;0690-SRQID;No
Female;1;No;No;46;0691-IFBQW;Yes
Female;0;Yes;No;53;0691-JVSYA;Yes
Female;0;No;No;40;0691-NIKRI;No
Male;0;No;Yes;23;0696-UKTOX;No
Male;0;No;No;4;0697-ZMSWS;Yes
Female;0;Yes;No;57;0699-NDKJM;No
Female;0;Yes;Yes;49;0701-RFGFI;No
Male;0;No;No;9;0701-TJSEF;No
Male;0;No;Yes;4;0702-PGIBZ;Yes
Female;0;Yes;No;61;0704-VCUMB;No
Female;1;No;No;70;0707-HOVVN;No
Male;0;Yes;No;13;0708-LGSMF;No
Female;0;No;No;34;0708-SJDIS;No
Female;1;No;No;9;0709-TVGUR;Yes
Male;1;No;No;57;0716-BQNDX;No
Female;0;No;No;12;0719-SYFRB;Yes
Female;0;No;No;7;0722-SVSFK;No
Female;1;No;No;4;0722-TROQR;Yes
Female;1;Yes;No;1;0723-DRCLG;Yes
Male;0;No;No;44;0723-FDLAY;No
Female;1;No;No;45;0723-VSOBE;No
Female;0;No;No;36;0725-CXOTM;No
Female;1;No;No;55;0727-BMPLR;Yes
Male;0;No;No;69;0727-BNRLG;No
Male;0;Yes;No;9;0727-IWKVK;Yes
Male;0;Yes;Yes;71;0730-BGQGF;No
Male;0;No;No;30;0730-KOAVE;No
Female;0;Yes;Yes;52;0731-EBJQB;No
Female;0;Yes;Yes;52;0732-OCQOC;No
Male;0;No;No;24;0733-VUNUW;Yes
Male;0;No;Yes;3;0734-OXWBT;No
Female;0;Yes;Yes;72;0739-UUAJR;No
Male;0;Yes;No;72;0742-LAFQK;No
Male;0;Yes;No;4;0742-MOABM;Yes
Female;0;No;No;1;0742-NXBGR;Yes
Female;0;Yes;Yes;51;0743-HNPFG;No
Female;0;Yes;Yes;51;0743-HRVFF;No
Male;0;No;No;72;0744-BIKKF;No
Female;0;Yes;Yes;64;0744-GKNGE;No
Male;0;No;No;2;0746-JTRFU;Yes
Male;0;Yes;No;70;0748-RDGGM;Yes
Female;1;Yes;No;13;0749-IRGQE;No
Male;0;No;No;52;0750-EBAIU;No
Male;0;No;No;7;0750-EKNGL;No
Male;0;Yes;Yes;4;0754-EEBDC;No
Male;0;No;No;2;0754-UKWQP;Yes
Male;0;No;No;46;0756-MPZRL;No
Male;0;Yes;Yes;54;0757-WCUUZ;No
Female;0;No;No;1;0761-AETCS;Yes
Female;0;Yes;Yes;72;0769-MURVM;No
Male;0;No;No;66;0771-CHWSK;No
Female;0;Yes;Yes;16;0771-WLCLA;No
Male;0;No;No;3;0772-GYEQQ;Yes
Male;0;Yes;Yes;11;0774-IFUVM;No
Female;0;Yes;Yes;71;0774-RMNUW;No
Male;0;No;No;9;0778-NELLA;Yes
Male;0;No;No;57;0780-XNZFN;No
Male;1;No;No;9;0781-LKXBR;Yes
Male;0;Yes;No;62;0784-GTUUK;No
Male;0;No;Yes;72;0784-ZQJZX;No
Female;1;No;No;66;0786-IVLAW;No
Male;1;No;No;16;0786-VSSUD;Yes
Male;0;No;No;16;0787-LHDYT;No
Male;0;Yes;Yes;58;0788-DXBFY;No
Female;0;No;No;4;0793-TWELN;No
Male;0;Yes;Yes;72;0794-YVSGE;No
Male;0;Yes;No;67;0795-GMVQO;No
Male;0;Yes;Yes;71;0795-LAFGP;No
Male;1;No;No;72;0795-XCCTE;No
Female;0;Yes;Yes;15;0799-DDIHE;No
Female;0;No;Yes;11;0804-XBFBV;No
Female;0;Yes;Yes;43;0804-YGEQV;No
Female;0;No;Yes;3;0807-ZABDG;Yes
Female;0;Yes;Yes;24;0810-BDHAW;No
Female;0;No;No;52;0810-DHDBD;No
Female;0;No;Yes;13;0811-GSDTP;No
Male;1;Yes;No;1;0812-WUPTB;Yes
Male;0;No;No;55;0813-TAXXS;No
Female;0;Yes;No;42;0815-MFZGM;No
Male;0;No;No;2;0816-TSPHQ;No
Male;0;No;No;1;0817-HSUSE;No
Male;1;No;No;27;0818-OCPZO;Yes
Male;0;Yes;Yes;17;0820-FNRNX;No
Female;0;No;No;2;0822-GAVAP;Yes
Female;1;Yes;No;27;0822-QGCXA;No
Male;1;No;No;52;0823-HSCDJ;Yes
Female;0;No;No;45;0824-VWDPO;No
Female;0;Yes;No;71;0825-CPPQH;No
Male;0;No;No;36;0827-ITJPH;No
Female;0;No;No;15;0829-DDVLK;No
Female;0;No;No;20;0829-XXPLX;No
Male;0;Yes;Yes;71;0831-JNISG;No
Female;0;No;Yes;24;0835-DUUIQ;No
Female;0;No;No;71;0835-JKADZ;No
Male;0;Yes;No;9;0836-SEYLU;Yes
Female;0;Yes;Yes;66;0839-JTCUD;No
Female;0;No;No;30;0839-QNXME;No
Male;0;No;No;47;0840-DCNZE;No
Female;0;No;No;7;0840-DFEZH;No
Male;0;No;No;1;0841-NULXI;Yes
Female;0;No;No;46;0842-IWYCP;No
Male;0;No;No;53;0843-WTBXE;Yes
