gender;SeniorCitizen;Partner;Dependents;tenure;customerID;Churn;PhoneService;MultipleLines;InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;Contract;PaperlessBilling;PaymentMethod;Charges.Monthly;Charges.Total
Female;0;Yes;No;10;0114-RSRRW;No;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Bank transfer (automatic);19.95;187.75
Male;0;Yes;No;21;0115-TFERT;Yes;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;111.2;2317.1
Male;0;Yes;Yes;37;0117-LFRMW;Yes;No;No phone service;DSL;Yes;Yes;Yes;No;No;No;Month-to-month;No;Bank transfer (automatic);40.2;1448.8
Female;1;No;No;26;0118-JPNOY;No;Yes;No;Fiber optic;Yes;No;No;No;Yes;No;Month-to-month;Yes;Credit card (automatic);85.8;2193.65
Male;0;No;No;50;0121-SNYRK;No;No;No phone service;DSL;Yes;No;No;Yes;No;No;One year;Yes;Mailed check;35.4;1748.9
Female;0;No;No;7;0122-OAHPZ;Yes;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;73.85;511.25
Female;0;Yes;Yes;61;0123-CRBRT;No;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Mailed check;88.1;5526.75
Male;0;No;No;15;0125-LZQXK;Yes;Yes;No;Fiber optic;No;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;101.35;1553.95
Female;0;No;Yes;26;0128-MKWSG;No;No;No phone service;DSL;Yes;No;No;Yes;No;Yes;Month-to-month;No;Mailed check;45.8;1147.0
Male;0;Yes;No;72;0129-KPTWJ;No;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;94.65;6747.35
Male;0;Yes;Yes;44;0129-QMPDR;No;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Bank transfer (automatic);20.5;865.05
Male;0;No;No;66;0130-SXOUN;No;Yes;Yes;Fiber optic;No;Yes;No;No;No;Yes;Month-to-month;No;Credit card (automatic);89.4;5976.9
Female;0;No;No;2;0133-BMFZO;Yes;Yes;No;Fiber optic;Yes;Yes;No;Yes;No;No;Month-to-month;Yes;Electronic check;86.25;181.65
Female;1;No;No;44;0134-XWXCE;No;Yes;No;DSL;No;No;Yes;Yes;Yes;Yes;One year;No;Bank transfer (automatic);74.85;3268.05
Female;0;No;No;12;0135-NMXAP;Yes;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;Yes;Bank transfer (automatic);89.75;1052.4
Male;1;Yes;No;69;0136-IFMYD;No;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Electronic check;109.95;7634.25
Female;0;No;No;1;0137-OCGAB;Yes;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Mailed check;80.2;80.2
Female;0;No;No;3;0137-UDEUO;Yes;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;19.85;63.75
Female;0;Yes;No;2;0139-IVFJG;No;Yes;No;Fiber optic;Yes;Yes;No;No;Yes;No;Month-to-month;No;Electronic check;90.35;190.5
Female;1;No;No;27;0141-YEAYS;No;Yes;Yes;Fiber optic;No;Yes;Yes;No;No;No;Month-to-month;Yes;Bank transfer (automatic);86.45;2401.05
Male;0;No;No;26;0142-GVYSN;No;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Electronic check;20.3;511.25
Female;1;Yes;No;39;0147-ESWWR;No;Yes;Yes;Fiber optic;No;No;No;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;101.25;3949.15
Male;0;No;No;25;0148-DCDOS;Yes;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);94.7;2362.1
Female;0;No;No;1;0151-ONTOV;Yes;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Mailed check;70.9;70.9
Male;0;Yes;No;22;0156-FVPTA;Yes;Yes;No;DSL;Yes;No;No;Yes;No;No;Month-to-month;Yes;Electronic check;54.2;1152.7
Female;0;No;No;72;0164-APGRB;No;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Electronic check;114.9;8496.7
Female;0;No;No;24;0164-XAIRP;No;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Bank transfer (automatic);19.55;470.2
Female;0;Yes;No;19;0168-XZKBB;No;Yes;Yes;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;86.85;1564.4
Male;0;Yes;Yes;71;0174-QRVVY;No;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);25.35;1847.55
Male;1;Yes;No;33;0177-PXBAT;No;Yes;Yes;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);109.9;3694.7
Female;0;No;No;3;0178-CIIKR;No;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;19.95;58.0
Male;0;Yes;Yes;47;0178-SZBHO;No;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;No;Month-to-month;No;Electronic check;87.2;4017.45
Male;0;Yes;Yes;62;0181-RITDD;No;Yes;No;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Mailed check;108.15;6825.65
Male;0;No;No;71;0186-CAERR;No;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;One year;Yes;Bank transfer (automatic);116.3;8309.55
Male;1;Yes;No;7;0187-QSXOE;No;Yes;No;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;89.0;605.45
Female;0;Yes;Yes;27;0187-WZNAB;No;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;No;Mailed check;74.4;1972.35
Male;0;No;No;2;0188-GWFLE;No;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20.05;33.7
Female;0;No;Yes;25;0191-EQUUH;No;No;No phone service;DSL;Yes;No;No;Yes;No;No;Two year;No;Bank transfer (automatic);35.05;844.45
Male;1;No;No;30;0191-ZHSKZ;No;Yes;No;DSL;Yes;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;74.75;2111.3
Female;1;Yes;No;58;0193-ESZXP;Yes;Yes;No;Fiber optic;Yes;Yes;No;Yes;Yes;Yes;One year;Yes;Credit card (automatic);105.5;6205.5
Male;0;Yes;No;10;0195-IESCP;Yes;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;85.25;855.3
Female;0;No;No;9;0196-JTUQI;No;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);75.2;633.85
Female;1;Yes;No;6;0196-VULGZ;Yes;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;84.35;474.9
Female;0;Yes;Yes;69;0197-PNKNK;No;Yes;Yes;Fiber optic;Yes;No;Yes;No;No;No;One year;No;Bank transfer (automatic);84.45;5848.6
Female;1;No;No;66;0201-MIBOL;No;Yes;Yes;Fiber optic;Yes;No;No;No;Yes;Yes;Two year;Yes;Bank transfer (automatic);102.4;6471.85
Female;0;No;No;70;0201-OAMXR;Yes;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;One year;No;Credit card (automatic);115.55;8127.6
Male;0;No;No;25;0203-HHYIJ;Yes;Yes;Yes;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Bank transfer (automatic);25.3;676.35
Female;0;Yes;Yes;46;0206-OYVOC;No;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Mailed check;19.25;864.2
Female;0;Yes;No;54;0206-TBWLC;No;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;One year;Yes;Mailed check;114.65;6049.5
Female;0;No;No;15;0207-MDKNV;Yes;Yes;No;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Month-to-month;No;Electronic check;105.1;1582.75
Female;0;Yes;Yes;12;0208-BPQEJ;No;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Bank transfer (automatic);19.4;198.1
Female;0;No;No;22;0212-ISBBF;No;No;No phone service;DSL;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;50.35;1098.85
Female;0;Yes;No;70;0214-JHPFW;No;No;No phone service;DSL;No;Yes;Yes;Yes;Yes;Yes;Two year;No;Bank transfer (automatic);57.8;4039.3
Male;0;No;No;30;0215-BQKGS;No;Yes;No;Fiber optic;Yes;Yes;Yes;No;No;No;Month-to-month;Yes;Credit card (automatic);84.3;2438.6
Male;0;Yes;Yes;71;0218-QNVAS;No;Yes;Yes;Fiber optic;No;Yes;No;No;Yes;Yes;One year;No;Bank transfer (automatic);100.55;7113.75
Male;0;Yes;No;30;0219-QAERP;No;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Credit card (automatic);19.8;576.65
Male;0;Yes;Yes;4;0219-YTZUE;Yes;Yes;Yes;Fiber optic;No;Yes;Yes;No;No;No;Month-to-month;Yes;Bank transfer (automatic);84.8;371.9
Male;0;No;No;2;0220-EBGCE;Yes;Yes;No;Fiber optic;No;No;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;85.85;167.3
Male;0;No;Yes;10;0221-NAUXK;No;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Bank transfer (automatic);19.95;219.5
Male;1;No;No;4;0221-WMXNQ;No;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;No;Electronic check;75.35;273.4
Male;1;No;No;52;0222-CNVPT;No;No;No phone service;DSL;Yes;No;No;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);48.8;2555.05
Male;0;No;No;5;0224-HJAPT;Yes;Yes;Yes;DSL;No;No;No;No;No;No;Month-to-month;No;Electronic check;47.15;223.15
Male;0;Yes;Yes;8;0224-NIJLP;No;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;20.15;165.5
Female;1;No;No;2;0224-RLWWD;No;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;44.3;89.3
Male;0;No;No;3;0225-ZORZP;No;Yes;No;Fiber optic;No;Yes;No;No;No;Yes;Month-to-month;No;Electronic check;84.3;235.05
Male;0;No;No;19;0228-MAUWC;No;Yes;Yes;DSL;No;No;Yes;Yes;No;No;Month-to-month;No;Electronic check;59.55;1144.6
Male;0;No;No;72;0229-LFJAF;No;Yes;Yes;DSL;Yes;Yes;Yes;Yes;No;No;Two year;No;Bank transfer (automatic);69.65;4908.25
Male;1;Yes;No;63;0230-UBYPQ;No;No;No phone service;DSL;Yes;No;No;Yes;No;No;One year;No;Bank transfer (automatic);36.1;2298.9
Male;0;Yes;No;66;0230-WEQUW;No;No;No phone service;DSL;Yes;Yes;Yes;Yes;Yes;No;Two year;Yes;Bank transfer (automatic);56.6;3789.2
Male;0;No;No;1;0231-LXVAP;Yes;Yes;No;Fiber optic;No;No;No;Yes;No;No;Month-to-month;Yes;Electronic check;75.9;75.9
Female;0;No;No;60;0233-FTHAV;No;Yes;Yes;Fiber optic;No;No;Yes;No;No;No;One year;Yes;Bank transfer (automatic);79.2;4765.0
Female;0;Yes;Yes;48;0234-TEVTT;No;No;No phone service;DSL;Yes;No;Yes;No;No;Yes;One year;No;Credit card (automatic);45.0;2196.3
Female;0;No;No;1;0235-KGSLC;Yes;Yes;No;Fiber optic;No;No;Yes;No;Yes;No;Month-to-month;Yes;Credit card (automatic);85.55;85.55
Male;0;No;No;15;0236-HFWSV;Yes;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;93.35;1444.65
Female;0;Yes;No;50;0237-YFUTL;No;Yes;Yes;Fiber optic;Yes;Yes;No;Yes;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);109.65;5405.8
Male;0;Yes;Yes;72;0238-WHBIQ;No;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Credit card (automatic);89.7;6339.3
Female;0;No;No;46;0239-OXEXL;No;Yes;Yes;Fiber optic;Yes;Yes;No;No;No;No;Month-to-month;No;Mailed check;84.25;3847.6
Female;0;Yes;Yes;72;0244-LGNFY;No;Yes;Yes;DSL;Yes;Yes;Yes;Yes;Yes;Yes;Two year;No;Bank transfer (automatic);92.65;6733.0
Male;0;Yes;Yes;1;0247-SLUJI;No;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;19.7;19.7
Female;0;No;No;1;0248-IPDFW;No;Yes;Yes;DSL;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;50.1;50.1
Female;1;No;No;67;0248-PGHBZ;No;Yes;No;Fiber optic;Yes;Yes;No;Yes;Yes;No;Two year;Yes;Bank transfer (automatic);92.45;6140.85
Female;0;Yes;Yes;48;0253-ZTEOB;No;Yes;Yes;DSL;No;Yes;No;Yes;Yes;Yes;Two year;No;Electronic check;79.65;3870.3
Female;0;No;No;72;0254-FNMCI;No;Yes;No;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Electronic check;109.9;7624.2
Male;0;Yes;No;52;0254-KCJGT;No;Yes;Yes;DSL;Yes;Yes;Yes;Yes;No;Yes;One year;Yes;Credit card (automatic);81.4;4354.45
Female;0;Yes;Yes;67;0254-WWRKD;No;Yes;No;DSL;No;Yes;No;No;No;No;One year;No;Credit card (automatic);50.55;3431.75
Female;0;Yes;Yes;28;0256-LTHVJ;Yes;Yes;No;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;81.05;2227.1
Female;0;Yes;Yes;32;0257-KXZGU;No;Yes;Yes;DSL;No;Yes;Yes;No;No;No;Month-to-month;No;Bank transfer (automatic);62.45;2045.55
Female;1;Yes;No;27;0257-ZESQC;Yes;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);75.2;1929.35
Male;0;No;No;3;0258-NOKBL;No;Yes;No;Fiber optic;No;Yes;Yes;No;No;Yes;Month-to-month;No;Electronic check;90.4;268.45
Male;0;No;No;2;0259-GBZSH;Yes;Yes;Yes;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;85.65;181.5
Female;0;No;Yes;9;0260-ZDLGK;Yes;Yes;No;DSL;No;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Mailed check;72.9;651.4
Male;0;Yes;Yes;50;0263-FJTQO;No;Yes;Yes;DSL;Yes;No;No;Yes;Yes;No;Two year;Yes;Credit card (automatic);70.5;3486.65
Female;0;Yes;Yes;71;0264-CNITK;No;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);20.1;1389.6
Male;1;Yes;No;32;0265-EDXBD;Yes;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;74.9;2303.35
Female;0;Yes;Yes;16;0265-PSUAE;No;Yes;No;Fiber optic;Yes;No;Yes;No;Yes;Yes;Month-to-month;No;Bank transfer (automatic);100.7;1522.7
Female;0;Yes;Yes;67;0266-CLZKZ;No;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);105.65;6717.9
Male;0;Yes;Yes;72;0266-GMEAO;No;Yes;Yes;Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Credit card (automatic);114.3;8058.55
Female;0;No;No;3;0268-QKIWO;Yes;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Electronic check;19.75;58.85
