PhoneService;MultipleLines;customerID;Churn
Yes;Yes;0238-WHBIQ;No
Yes;Yes;0239-OXEXL;No
Yes;Yes;0244-LGNFY;No
Yes;No;0247-SLUJI;No
Yes;Yes;0248-IPDFW;No
Yes;No;0248-PGHBZ;No
Yes;Yes;0253-ZTEOB;No
Yes;No;0254-FNMCI;No
Yes;Yes;0254-KCJGT;No
Yes;No;0254-WWRKD;No
Yes;No;0256-LTHVJ;Yes
Yes;Yes;0257-KXZGU;No
Yes;No;0257-ZESQC;Yes
Yes;No;0258-NOKBL;No
Yes;Yes;0259-GBZSH;Yes
Yes;No;0260-ZDLGK;Yes
Yes;Yes;0263-FJTQO;No
Yes;No;0264-CNITK;No
Yes;Yes;0265-EDXBD;Yes
Yes;No;0265-PSUAE;No
Yes;Yes;0266-CLZKZ;No
Yes;Yes;0266-GMEAO;No
Yes;No;0268-QKIWO;Yes
Yes;Yes;0269-XFESX;No
Yes;Yes;0270-THENM;No
No;No phone service;0274-JKUJR;No
Yes;No;0277-BKSQP;No
No;No phone service;0277-ORXQS;No
Yes;No;0278-YXOOG;Yes
Yes;Yes;0280-XJGEX;Yes
Yes;No;0281-CNTZX;No
No;No phone service;0282-NVSJS;No
Yes;No;0285-INHLN;No
Yes;No;0289-IVARM;No
Yes;Yes;0292-WEGCH;No
Yes;Yes;0295-PPHDO;Yes
Yes;No;0295-QVKPB;No
Yes;No;0297-RBCSG;No
No;No phone service;0298-XACET;No
No;No phone service;0301-FIDRB;No
Yes;No;0301-KOBTQ;No
Yes;No;0302-JOIVN;Yes
Yes;Yes;0303-UNCIP;No
Yes;No;0303-WMMRN;No
No;No phone service;0305-SQECB;No
Yes;No;0306-JAELE;Yes
Yes;No;0307-BCOPK;No
Yes;Yes;0308-GIQJT;No
No;No phone service;0308-IVGOK;No
Yes;Yes;0310-MVLET;Yes
Yes;No;0310-SUCIN;No
Yes;No;0310-VQXAM;No
Yes;No;0311-QYWSS;No
Yes;No;0311-UNPFF;Yes
Yes;No;0314-TKOSI;No
Yes;No;0315-LVCRK;No
Yes;No;0318-QUUOB;Yes
Yes;No;0318-ZOPWS;No
Yes;No;0319-QZTCO;No
Yes;No;0320-DWVTU;No
Yes;No;0320-JDNQG;Yes
Yes;No;0322-CHQRU;Yes
Yes;No;0322-YINQP;Yes
Yes;Yes;0323-XWWTN;No
Yes;Yes;0324-BRPCJ;Yes
Yes;No;0325-XBFAC;Yes
Yes;Yes;0326-VDYXE;No
Yes;Yes;0327-WFZSY;No
Yes;No;0328-GRPMV;Yes
Yes;No;0329-GTIAJ;Yes
Yes;Yes;0330-BGYZE;No
Yes;No;0330-IVZHA;Yes
Yes;Yes;0334-GDDSO;Yes
Yes;Yes;0334-ZFJSR;No
No;No phone service;0336-KXKFK;No
Yes;No;0336-PIKEI;No
Yes;Yes;0337-CNPZE;Yes
No;No phone service;0343-QLUZP;No
Yes;No;0345-HKJVM;Yes
Yes;Yes;0345-XMMUG;No
Yes;No;0347-UBKUZ;No
Yes;Yes;0348-SDKOL;Yes
Yes;No;0354-VXMJC;No
Yes;No;0354-WYROK;Yes
Yes;No;0356-ERHVT;No
Yes;Yes;0356-OBMAC;No
Yes;No;0357-NVCRI;No
No;No phone service;0361-HJRDX;No
Yes;No;0362-RAOQO;No
Yes;Yes;0362-ZBZWJ;Yes
Yes;Yes;0363-QJVFX;Yes
Yes;Yes;0363-SVHYR;No
Yes;Yes;0365-BZUWY;No
Yes;No;0365-GXEZS;No
Yes;Yes;0365-TRTPY;No
Yes;No;0366-NQSHS;No
Yes;No;0369-ZGOVK;No
No;No phone service;0373-AIVNJ;No
Yes;No;0374-AACSZ;No
Yes;No;0374-FIUCA;No
Yes;No;0374-IOEGQ;No
No;No phone service;0375-HVGXO;Yes
Yes;No;0376-OIWME;No
Yes;Yes;0376-YMCJC;Yes
Yes;No;0377-JBKKT;No
Yes;Yes;0378-CJKPV;No
Yes;Yes;0378-NHQXU;Yes
Yes;No;0378-TOVMS;Yes
Yes;No;0378-XSZPU;Yes
Yes;No;0379-DJQHR;No
Yes;No;0380-NEAVX;No
Yes;No;0380-ZCSBI;No
Yes;Yes;0383-CLDDA;No
No;No phone service;0384-LPITE;No
Yes;No;0384-RVBPI;No
Yes;No;0386-CWRGM;No
Yes;No;0388-EOPEX;Yes
Yes;No;0390-DCFDQ;Yes
Yes;Yes;0392-BZIUW;No
Yes;Yes;0394-YONDK;No
Yes;No;0396-HUJBP;No
Yes;No;0396-UKGAI;No
Yes;Yes;0396-YCHWO;No
Yes;Yes;0397-GZBBC;Yes
Yes;No;0397-ZXWQF;No
Yes;Yes;0401-WDBXM;No
Yes;Yes;0402-CQAJN;Yes
Yes;Yes;0402-OAMEN;No
Yes;No;0404-AHASP;No
Yes;Yes;0404-SWRVG;Yes
Yes;Yes;0406-BPDVR;Yes
Yes;Yes;0407-BDJKB;Yes
Yes;Yes;0409-WTMPL;No
Yes;No;0410-IPFTY;No
Yes;Yes;0411-EZJZE;No
Yes;No;0412-UCCNP;No
Yes;No;0415-MOSGF;Yes
Yes;No;0419-YAAPX;No
No;No phone service;0420-BWTPW;Yes
Yes;Yes;0420-HLGXF;No
Yes;Yes;0420-TXVSG;No
Yes;No;0422-OHQHQ;No
Yes;Yes;0422-UXFAP;No
Yes;No;0423-UDIJQ;No
Yes;No;0426-TIRNE;Yes
Yes;No;0428-AXXLJ;No
Yes;No;0428-IKYCP;No
Yes;Yes;0430-IHCDJ;No
Yes;No;0431-APWVY;Yes
Yes;No;0432-CAJZV;No
Yes;Yes;0434-CSFON;No
Yes;Yes;0436-TWFFZ;No
Yes;No;0439-IFYUN;No
Yes;No;0440-EKDCF;No
Yes;Yes;0440-MOGPM;No
Yes;Yes;0440-QEXBZ;No
Yes;No;0440-UEDAI;No
Yes;No;0442-TDYUO;No
Yes;Yes;0442-ZXKVS;No
No;No phone service;0447-BEMNG;Yes
Yes;Yes;0447-RXSGD;No
Yes;No;0454-OKRCT;No
Yes;Yes;0455-ENTCR;No
Yes;No;0455-XFASS;No
No;No phone service;0458-HEUZG;No
Yes;Yes;0459-SPZHJ;No
Yes;No;0461-CVKMU;Yes
Yes;Yes;0463-TXOAK;No
Yes;No;0463-WZZKO;No
Yes;No;0463-ZSDNT;No
Yes;No;0464-WJTKO;No
Yes;No;0468-YRPXN;No
Yes;Yes;0471-ARVMX;No
Yes;Yes;0471-LVHGK;Yes
Yes;Yes;0475-RIJEP;Yes
Yes;No;0479-HMSWA;No
Yes;No;0480-BIXDE;No
Yes;Yes;0480-KYJVA;No
Yes;Yes;0481-SUMCB;No
Yes;No;0484-FFVBJ;No
Yes;Yes;0484-JPBRU;No
Yes;Yes;0485-ZBSLN;No
Yes;Yes;0486-HECZI;Yes
Yes;No;0486-LGCCH;No
Yes;No;0487-CRLZF;No
Yes;Yes;0487-RPVUM;No
Yes;No;0487-VVUVK;No
Yes;No;0488-GSLFR;Yes
Yes;No;0489-WMEMG;No
Yes;Yes;0491-KAPQG;No
Yes;No;0495-RVCBF;Yes
Yes;Yes;0495-ZBNGW;Yes
Yes;No;0496-AHOOK;No
Yes;Yes;0504-HHAPI;Yes
Yes;No;0505-SPOOW;No
Yes;No;0506-LVNGN;Yes
Yes;No;0506-YLVKJ;No
Yes;No;0508-OOLTO;No
Yes;No;0508-SQWPL;No
Yes;No;0511-JTEOY;Yes
Yes;Yes;0512-FLFDW;No
Yes;Yes;0513-RBGPE;No
Yes;No;0515-YPMCW;Yes
Yes;No;0516-OOHAR;No
Yes;No;0516-QREYC;No
Yes;Yes;0516-UXRMT;No
Yes;No;0516-VRYBW;Yes
Yes;No;0516-WJVXC;Yes
Yes;No;0519-DRGTI;No
Yes;No;0519-XUZJU;Yes
Yes;No;0520-FDVVT;Yes
No;No phone service;0523-VNGTF;No
Yes;Yes;0524-IAVZO;Yes
No;No phone service;0526-SXDJP;No
Yes;Yes;0529-ONKER;Yes
Yes;Yes;0530-IJVDB;No
Yes;Yes;0531-XBKMM;No
Yes;Yes;0531-ZZJWQ;No
Yes;Yes;0533-BNWKF;Yes
Yes;Yes;0533-UCAAU;No
Yes;Yes;0536-ACXIP;No
Yes;No;0536-BGFMZ;No
Yes;No;0536-ESJEP;No
Yes;Yes;0537-QYZZN;No
Yes;No;0541-FITGH;No
Yes;No;0547-HURJB;No
Yes;Yes;0549-CYCQN;No
Yes;No;0550-DCXLH;No
Yes;No;0556-FJEGU;No
Yes;No;0557-ASKVU;No
Yes;No;0559-CKHUS;No
Yes;Yes;0562-FGDCR;No
Yes;Yes;0562-HKHML;No
No;No phone service;0562-KBDVM;No
Yes;Yes;0564-JJHGS;Yes
Yes;Yes;0564-MUUQK;No
Yes;Yes;0565-IYCGT;Yes
Yes;Yes;0565-JUPYD;No
Yes;No;0567-GGCAC;No
No;No phone service;0567-XRHCU;No
Yes;Yes;0568-ONFPC;Yes
Yes;No;0570-BFQHT;No
Yes;Yes;0572-ZJKLT;No
Yes;No;0575-CUQOV;No
Yes;Yes;0576-WNXXC;Yes
Yes;Yes;0577-WHMEV;No
Yes;No;0578-SKVMF;Yes
Yes;Yes;0580-PIQHM;No
Yes;No;0581-BXBUB;No
Yes;Yes;0581-MDMPW;No
Yes;No;0582-AVCLN;No
Yes;Yes;0584-BJQGZ;No
Yes;No;0585-EGDDA;No
Yes;No;0587-DMGBH;Yes
Yes;No;0594-UFTUL;No
Yes;Yes;0595-ITUDF;No
Yes;No;0596-BQCEQ;Yes
Yes;No;0599-XNYDO;No
No;No phone service;0601-WZHJF;Yes
Yes;No;0602-DDUML;No
Yes;No;0603-OLQDC;No
Yes;Yes;0603-TPMIB;No
Yes;No;0604-THJFP;No
Yes;No;0607-DAAHE;Yes
Yes;Yes;0607-MVMGC;No
Yes;No;0608-JDVEC;No
Yes;No;0611-DFXKO;Yes
No;No phone service;0612-RTZZA;Yes
Yes;No;0613-WUXUM;No
No;No phone service;0616-ATFGB;Yes
No;No phone service;0617-AQNWT;Yes
Yes;Yes;0617-FHSGK;Yes
Yes;No;0618-XWMSS;Yes
Yes;Yes;0619-OLYUR;No
Yes;No;0620-DLSLK;No
Yes;No;0620-XEFWH;No
Yes;No;0621-CXBKL;No
Yes;Yes;0621-HJWXJ;No
No;No phone service;0621-JFHOL;No
Yes;No;0621-TSSMU;No
Yes;No;0621-TWIEM;Yes
Yes;Yes;0623-EJQEG;No
Yes;No;0623-GDISB;No
No;No phone service;0623-IIHUG;Yes
Yes;No;0625-AFOHS;No
Yes;Yes;0626-QXNGV;No
Yes;No;0628-CNQRM;Yes
Yes;Yes;0634-SZPQA;Yes
Yes;Yes;0635-WKOLD;No
Yes;Yes;0637-KVDLV;Yes
Yes;No;0637-UBJRP;Yes
Yes;Yes;0637-YLETY;Yes
Yes;Yes;0639-TSIQW;Yes
Yes;No;0640-YJTPY;No
Yes;No;0641-EVBOJ;No
Yes;Yes;0643-OKLRP;Yes
Yes;No;0644-OQMDK;No
Yes;No;0650-BWOZN;No
Yes;Yes;0654-HMSHN;Yes
Yes;No;0654-PQKDW;No
Yes;Yes;0655-RBDUG;Yes
Yes;No;0655-YDGFJ;No
Yes;Yes;0657-DOGUM;No
Yes;Yes;0661-KBKPA;No
Yes;No;0661-KQHNK;No
Yes;No;0661-WCQNQ;No
No;No phone service;0661-XEYAN;Yes
Yes;Yes;0665-XHDJU;No
Yes;No;0666-UXTJO;No
Yes;Yes;0667-NSRGI;No
No;No phone service;0668-OGMHD;No
Yes;Yes;0670-ANMUU;No
Yes;No;0670-KDOMA;No
Yes;No;0673-IGUQO;No
Yes;Yes;0674-DGMAQ;No
Yes;No;0674-EYYZV;No
Yes;Yes;0674-GCDXG;No
Yes;Yes;0675-NCDYU;No
Yes;Yes;0678-RLHVP;No
Yes;No;0679-IDSTG;Yes
Yes;No;0679-TDGAK;No
Yes;Yes;0680-DFNNY;Yes
Yes;No;0682-USIXD;No
Yes;No;0684-AOSIH;Yes
Yes;No;0685-MLYYM;Yes
Yes;Yes;0687-ZVTHB;Yes
Yes;No;0689-DSXGL;No
Yes;No;0689-NKYLF;Yes
Yes;No;0690-SRQID;No
Yes;Yes;0691-IFBQW;Yes
Yes;No;0691-JVSYA;Yes
Yes;Yes;0691-NIKRI;No
Yes;No;0696-UKTOX;No
Yes;Yes;0697-ZMSWS;Yes
No;No phone service;0699-NDKJM;No
Yes;Yes;0701-RFGFI;No
Yes;No;0701-TJSEF;No
Yes;Yes;0702-PGIBZ;Yes
Yes;No;0704-VCUMB;No
Yes;Yes;0707-HOVVN;No
Yes;Yes;0708-LGSMF;No
Yes;Yes;0708-SJDIS;No
Yes;Yes;0709-TVGUR;Yes
Yes;Yes;0716-BQNDX;No
Yes;Yes;0719-SYFRB;Yes
Yes;No;0722-SVSFK;No
Yes;Yes;0722-TROQR;Yes
Yes;Yes;0723-DRCLG;Yes
Yes;Yes;0723-FDLAY;No
No;No phone service;0723-VSOBE;No
Yes;Yes;0725-CXOTM;No
Yes;Yes;0727-BMPLR;Yes
Yes;Yes;0727-BNRLG;No
Yes;No;0727-IWKVK;Yes
Yes;Yes;0730-BGQGF;No
Yes;Yes;0730-KOAVE;No
Yes;No;0731-EBJQB;No
Yes;Yes;0732-OCQOC;No
Yes;Yes;0733-VUNUW;Yes
Yes;No;0734-OXWBT;No
No;No phone service;0739-UUAJR;No
Yes;Yes;0742-LAFQK;No
Yes;No;0742-MOABM;Yes
Yes;No;0742-NXBGR;Yes
Yes;No;0743-HNPFG;No
No;No phone service;0743-HRVFF;No
Yes;Yes;0744-BIKKF;No
Yes;Yes;0744-GKNGE;No
No;No phone service;0746-JTRFU;Yes
Yes;No;0748-RDGGM;Yes
No;No phone service;0749-IRGQE;No
Yes;No;0750-EBAIU;No
Yes;No;0750-EKNGL;No
Yes;No;0754-EEBDC;No
Yes;No;0754-UKWQP;Yes
No;No phone service;0756-MPZRL;No
Yes;Yes;0757-WCUUZ;No
Yes;No;0761-AETCS;Yes
No;No phone service;0769-MURVM;No
Yes;Yes;0771-CHWSK;No
Yes;Yes;0771-WLCLA;No
Yes;No;0772-GYEQQ;Yes
Yes;Yes;0774-IFUVM;No
No;No phone service;0774-RMNUW;No
No;No phone service;0778-NELLA;Yes
Yes;No;0780-XNZFN;No
Yes;Yes;0781-LKXBR;Yes
Yes;Yes;0784-GTUUK;No
Yes;No;0784-ZQJZX;No
Yes;Yes;0786-IVLAW;No
No;No phone service;0786-VSSUD;Yes
Yes;No;0787-LHDYT;No
Yes;No;0788-DXBFY;No
Yes;Yes;0793-TWELN;No
Yes;No;0794-YVSGE;No
Yes;Yes;0795-GMVQO;No
Yes;Yes;0795-LAFGP;No
Yes;Yes;0795-XCCTE;No
Yes;No;0799-DDIHE;No
No;No phone service;0804-XBFBV;No
Yes;Yes;0804-YGEQV;No
Yes;No;0807-ZABDG;Yes
Yes;Yes;0810-BDHAW;No
Yes;Yes;0810-DHDBD;No
No;No phone service;0811-GSDTP;No
Yes;No;0812-WUPTB;Yes
Yes;Yes;0813-TAXXS;No
Yes;No;0815-MFZGM;No
Yes;No;0816-TSPHQ;No
Yes;No;0817-HSUSE;No
Yes;Yes;0818-OCPZO;Yes
Yes;Yes;0820-FNRNX;No
No;No phone service;0822-GAVAP;Yes
Yes;Yes;0822-QGCXA;No
No;No phone service;0823-HSCDJ;Yes
Yes;Yes;0824-VWDPO;No
Yes;No;0825-CPPQH;No
Yes;No;0827-ITJPH;No
Yes;No;0829-DDVLK;No
Yes;No;0829-XXPLX;No
Yes;No;0831-JNISG;No
Yes;No;0835-DUUIQ;No
Yes;Yes;0835-JKADZ;No
No;No phone service;0836-SEYLU;Yes
Yes;Yes;0839-JTCUD;No
Yes;No;0839-QNXME;No
Yes;No;0840-DCNZE;No
Yes;Yes;0840-DFEZH;No
No;No phone service;0841-NULXI;Yes
Yes;No;0842-IWYCP;No
Yes;Yes;0843-WTBXE;Yes
Yes;No;0847-HGRML;No
No;No phone service;0848-SOMKO;No
Yes;No;0848-ZGQIJ;No
Yes;No;0851-DFJKB;No
Yes;No;0853-NWIFK;No
Yes;Yes;0853-TWRVK;No
Yes;No;0854-UYHZD;No
Yes;No;0856-NAOES;No
Yes;No;0859-YGKFW;No
Yes;Yes;0862-PRCBS;No
Yes;Yes;0864-FVJNJ;No
Yes;Yes;0866-QLSIR;Yes
Yes;No;0867-LDTTC;No
Yes;Yes;0867-MKZVY;Yes
Yes;No;0868-VJRDR;No
Yes;No;0869-PAPRP;No
Yes;No;0870-VEMYL;Yes
Yes;No;0871-OPBXW;No
Yes;Yes;0871-URUWO;Yes
Yes;Yes;0872-CASZJ;No
Yes;Yes;0872-JCPIB;No
Yes;No;0872-NXJYS;Yes
Yes;No;0875-CABNR;Yes
Yes;No;0876-WDUUZ;Yes
Yes;Yes;0877-SDMBN;Yes
Yes;Yes;0880-FVFWF;No
Yes;Yes;0880-TKATG;Yes
Yes;No;0883-EIBTI;Yes
Yes;Yes;0885-HMGPY;No
Yes;No;0886-QGENL;Yes
Yes;No;0887-HJGAR;Yes
Yes;No;0887-WBJVH;No
Yes;Yes;0895-DQHEW;Yes
Yes;No;0895-LMRSF;No
Yes;No;0895-LNKRC;No
No;No phone service;0895-UADGO;No
Yes;Yes;0897-FEGMU;Yes
Yes;Yes;0898-XCGTF;No
Yes;Yes;0899-LIIBW;No
Yes;Yes;0899-WZRSD;No
Yes;No;0902-RFHOF;No
Yes;No;0902-XKXPN;No
Yes;Yes;0906-QVPMS;No
Yes;Yes;0907-HQNTS;No
No;No phone service;0909-SDHNU;No
Yes;Yes;0909-SELIE;No
Yes;Yes;0913-XWSCN;No
Yes;Yes;0916-KNFAJ;No
Yes;Yes;0916-QOFDP;No
Yes;Yes;0917-EZOLA;Yes
Yes;Yes;0921-OHLVP;No
Yes;No;0923-PNFUB;Yes
Yes;Yes;0924-BJCRC;No
Yes;Yes;0925-VYDLG;Yes
Yes;No;0927-CNGRH;No
Yes;No;0927-LCSMG;Yes
No;No phone service;0928-JMXNP;No
Yes;No;0928-XUTSN;No
Yes;No;0929-HYQEW;No
Yes;Yes;0929-PECLO;No
Yes;No;0930-EHUZA;No
Yes;No;0931-MHTEM;No
Yes;No;0932-YIXYU;No
Yes;No;0936-NQLJU;No
Yes;No;0939-EREMR;No
Yes;Yes;0939-YAPAF;Yes
Yes;Yes;0940-OUQEC;Yes
Yes;No;0942-KOWSM;No
Yes;No;0943-ZQPXH;No
Yes;Yes;0945-TSONX;No
Yes;Yes;0946-CLJTI;Yes
No;No phone service;0946-FKYTX;No
Yes;No;0947-IDHRQ;Yes
Yes;No;0947-MUGVO;Yes
Yes;Yes;0952-KMEEH;Yes
No;No phone service;0953-LGOVU;No
Yes;No;0956-ACVZC;No
Yes;No;0956-SYCWG;No
Yes;No;0958-YHXGP;No
Yes;Yes;0959-WHOKV;No
Yes;Yes;0960-HUWBM;No
Yes;Yes;0961-ZWLVI;No
Yes;No;0962-CQPWQ;No
Yes;No;0963-ZBDRN;Yes
Yes;No;0967-BMLBD;No
Yes;No;0968-GSIKN;Yes
Yes;No;0969-RGKCU;No
Yes;No;0970-ETWGE;Yes
Yes;No;0970-QXPXW;No
Yes;Yes;0971-QIFJK;No
Yes;No;0973-KYVNF;No
Yes;Yes;0975-UYDTX;No
No;No phone service;0975-VOOVL;No
No;No phone service;0979-MOZQI;No
Yes;Yes;0979-PHULV;Yes
Yes;No;0980-FEXWF;No
No;No phone service;0980-PVMRC;No
Yes;No;0983-TATYJ;No
Yes;Yes;0988-AADSA;No
Yes;No;0988-JRWWP;No
Yes;No;0991-BRRFB;Yes
Yes;No;0993-OSGPT;No
Yes;No;0997-YTLNY;No
Yes;No;0999-QXNSA;No
Yes;No;1000-AJSLD;Yes
Yes;No;1004-NOZNR;No
Yes;No;1009-IRMNA;Yes
Yes;No;1010-DIAUQ;Yes
Yes;Yes;1013-QCWAM;No
Yes;No;1015-JPFYW;No
Yes;No;1015-OWJKI;No
Yes;No;1016-DJTSV;No
Yes;Yes;1017-FBQMM;No
Yes;Yes;1020-JPQOW;No
Yes;Yes;1022-RKXDR;No
Yes;No;1023-BQXZE;No
No;No phone service;1024-GUALD;Yes
Yes;No;1024-KPRBB;No
Yes;Yes;1024-VRZHF;Yes
Yes;No;1025-FALIX;No
Yes;No;1027-LKKQQ;No
Yes;Yes;1028-FFNJK;No
Yes;No;1029-QFBEN;Yes
Yes;No;1031-IIDEO;Yes
Yes;Yes;1032-MAELW;No
Yes;Yes;1035-IPQPU;No
Yes;No;1036-GUDCL;No
Yes;No;1038-RQOST;No
Yes;No;1038-ZAGBI;Yes
Yes;No;1041-RXHRA;Yes
Yes;No;1042-HFUCW;No
Yes;Yes;1043-UXOVO;No
Yes;Yes;1043-YCUTE;Yes
Yes;No;1045-LTCYT;No
Yes;No;1047-NNCBF;No
Yes;No;1047-RNXZV;No
No;No phone service;1049-FYSYG;No
Yes;No;1051-EQPZR;No
Yes;No;1051-GEJLJ;No
Yes;No;1052-QJIBV;No
Yes;No;1053-MXTTK;No
Yes;No;1057-FOGLZ;No
Yes;Yes;1060-ENTOF;No
Yes;Yes;1061-PNTHC;No
Yes;No;1062-LHZOD;Yes
Yes;No;1063-DHQJF;No
Yes;No;1064-FBXNK;No
Yes;No;1066-JKSGK;Yes
Yes;No;1069-QJOEE;No
Yes;Yes;1069-XAIEM;Yes
Yes;Yes;1073-XXCZD;No
Yes;No;1074-AMIOH;No
Yes;No;1074-WVEVG;No
Yes;Yes;1075-BGWOH;Yes
Yes;No;1077-HUUJM;No
No;No phone service;1078-TDCRN;No
Yes;Yes;1080-BWSYE;No
Yes;No;1084-MNSMJ;No
Yes;No;1084-UQCHV;Yes
Yes;No;1085-LDWAM;No
Yes;No;1086-LXKFY;Yes
Yes;No;1087-GRUYI;No
Yes;No;1087-UDSIH;Yes
Yes;Yes;1088-AUUZZ;No
Yes;Yes;1088-CNNKB;No
Yes;No;1089-HDMKP;No
Yes;No;1089-XZWHH;No
Yes;No;1090-ESELR;No
Yes;Yes;1090-PYKCI;No
Yes;Yes;1091-SOZGA;No
Yes;No;1092-GANHU;Yes
Yes;Yes;1092-WPIVQ;No
Yes;No;1093-YSWCA;No
No;No phone service;1094-BKOSX;No
Yes;Yes;1095-JUDTC;Yes
Yes;Yes;1095-WGNGG;No
Yes;Yes;1096-ADRUX;No
Yes;No;1097-FSPVW;No
Yes;No;1098-KFQEC;No
