InternetService;OnlineSecurity;OnlineBackup;DeviceProtection;TechSupport;StreamingTV;StreamingMovies;customerID;Churn
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0048-PIHNL;No
Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;0052-DCKON;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0052-YNYOT;No
DSL;Yes;No;Yes;Yes;No;No;0056-EPFBG;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0057-QBUQH;No
Fiber optic;Yes;No;No;No;Yes;No;0058-EVZWM;No
Fiber optic;Yes;Yes;No;No;Yes;No;0060-FUALY;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0064-SUDOG;No
Fiber optic;No;No;No;No;No;No;0064-YIJGF;No
DSL;Yes;No;No;No;No;No;0067-DKWBL;Yes
DSL;No;Yes;Yes;Yes;Yes;Yes;0068-FIGTF;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0071-NDAFP;No
DSL;Yes;Yes;Yes;No;No;No;0074-HDKDG;No
DSL;Yes;Yes;Yes;Yes;No;No;0076-LVEPS;No
DSL;No;Yes;Yes;Yes;Yes;Yes;0078-XZMHT;No
DSL;No;Yes;No;No;No;No;0080-EMYVY;No
Fiber optic;No;No;Yes;Yes;Yes;Yes;0080-OROZO;No
DSL;No;No;No;No;No;No;0082-LDZUE;No
Fiber optic;No;No;No;Yes;Yes;Yes;0082-OQIQY;No
DSL;Yes;Yes;Yes;Yes;Yes;No;0083-PIVIK;No
Fiber optic;No;No;No;Yes;Yes;Yes;0089-IIQKO;No
Fiber optic;No;No;No;No;Yes;Yes;0093-EXYQL;No
Fiber optic;No;Yes;Yes;No;Yes;Yes;0093-XWZFY;Yes
Fiber optic;No;Yes;No;No;Yes;Yes;0094-OIFMO;Yes
DSL;No;No;No;No;No;No;0096-BXERS;No
DSL;Yes;No;No;No;No;Yes;0096-FCPUF;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0098-BOWSO;No
Fiber optic;No;Yes;Yes;No;Yes;Yes;0100-DUVFC;No
Fiber optic;No;Yes;Yes;Yes;Yes;Yes;0103-CSITQ;No
DSL;No;No;Yes;No;No;No;0104-PPXDV;No
DSL;No;Yes;Yes;No;No;Yes;0106-GHRQR;No
Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;0106-UGRDO;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0107-WESLM;Yes
Fiber optic;No;No;Yes;No;Yes;Yes;0107-YHINA;Yes
Fiber optic;No;Yes;No;No;Yes;Yes;0111-KLBQG;No
Fiber optic;No;No;Yes;No;Yes;No;0112-QAWRZ;No
DSL;Yes;No;Yes;Yes;Yes;Yes;0112-QWPNC;Yes
DSL;No;Yes;Yes;Yes;Yes;Yes;0114-IGABW;No
Fiber optic;No;Yes;Yes;No;Yes;Yes;0114-PEGZZ;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0114-RSRRW;No
Fiber optic;No;Yes;Yes;Yes;Yes;Yes;0115-TFERT;Yes
DSL;Yes;Yes;Yes;No;No;No;0117-LFRMW;Yes
Fiber optic;Yes;No;No;No;Yes;No;0118-JPNOY;No
DSL;Yes;No;No;Yes;No;No;0121-SNYRK;No
Fiber optic;No;No;No;No;No;No;0122-OAHPZ;Yes
DSL;Yes;Yes;Yes;Yes;Yes;Yes;0123-CRBRT;No
Fiber optic;No;No;Yes;Yes;Yes;Yes;0125-LZQXK;Yes
DSL;Yes;No;No;Yes;No;Yes;0128-MKWSG;No
Fiber optic;No;No;Yes;No;Yes;Yes;0129-KPTWJ;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0129-QMPDR;No
Fiber optic;No;Yes;No;No;No;Yes;0130-SXOUN;No
Fiber optic;Yes;Yes;No;Yes;No;No;0133-BMFZO;Yes
DSL;No;No;Yes;Yes;Yes;Yes;0134-XWXCE;No
Fiber optic;No;Yes;No;No;Yes;No;0135-NMXAP;Yes
Fiber optic;No;Yes;Yes;Yes;Yes;Yes;0136-IFMYD;No
Fiber optic;No;Yes;No;No;No;No;0137-OCGAB;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0137-UDEUO;Yes
Fiber optic;Yes;Yes;No;No;Yes;No;0139-IVFJG;No
Fiber optic;No;Yes;Yes;No;No;No;0141-YEAYS;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0142-GVYSN;No
Fiber optic;No;No;No;Yes;Yes;Yes;0147-ESWWR;No
Fiber optic;No;No;No;No;Yes;Yes;0148-DCDOS;Yes
Fiber optic;No;No;No;No;No;No;0151-ONTOV;Yes
DSL;Yes;No;No;Yes;No;No;0156-FVPTA;Yes
Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;0164-APGRB;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0164-XAIRP;No
Fiber optic;No;No;No;No;Yes;No;0168-XZKBB;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0174-QRVVY;No
Fiber optic;Yes;No;Yes;Yes;Yes;Yes;0177-PXBAT;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0178-CIIKR;No
Fiber optic;No;Yes;No;No;Yes;No;0178-SZBHO;No
Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;0181-RITDD;No
Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;0186-CAERR;No
Fiber optic;No;No;No;No;Yes;Yes;0187-QSXOE;No
Fiber optic;Yes;No;No;No;No;No;0187-WZNAB;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0188-GWFLE;No
DSL;Yes;No;No;Yes;No;No;0191-EQUUH;No
DSL;Yes;Yes;No;No;Yes;Yes;0191-ZHSKZ;No
Fiber optic;Yes;Yes;No;Yes;Yes;Yes;0193-ESZXP;Yes
Fiber optic;No;No;No;No;No;Yes;0195-IESCP;Yes
Fiber optic;No;No;No;No;No;No;0196-JTUQI;No
Fiber optic;No;No;No;No;No;Yes;0196-VULGZ;Yes
Fiber optic;Yes;No;Yes;No;No;No;0197-PNKNK;No
Fiber optic;Yes;No;No;No;Yes;Yes;0201-MIBOL;No
Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;0201-OAMXR;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0203-HHYIJ;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0206-OYVOC;No
Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;0206-TBWLC;No
Fiber optic;Yes;No;Yes;Yes;Yes;Yes;0207-MDKNV;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0208-BPQEJ;No
DSL;No;Yes;No;No;Yes;Yes;0212-ISBBF;No
DSL;No;Yes;Yes;Yes;Yes;Yes;0214-JHPFW;No
Fiber optic;Yes;Yes;Yes;No;No;No;0215-BQKGS;No
Fiber optic;No;Yes;No;No;Yes;Yes;0218-QNVAS;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0219-QAERP;No
Fiber optic;No;Yes;Yes;No;No;No;0219-YTZUE;Yes
Fiber optic;No;No;Yes;No;No;Yes;0220-EBGCE;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0221-NAUXK;No
Fiber optic;Yes;No;No;No;No;No;0221-WMXNQ;No
DSL;Yes;No;No;No;Yes;Yes;0222-CNVPT;No
DSL;No;No;No;No;No;No;0224-HJAPT;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0224-NIJLP;No
DSL;No;No;No;No;No;No;0224-RLWWD;No
Fiber optic;No;Yes;No;No;No;Yes;0225-ZORZP;No
DSL;No;No;Yes;Yes;No;No;0228-MAUWC;No
DSL;Yes;Yes;Yes;Yes;No;No;0229-LFJAF;No
DSL;Yes;No;No;Yes;No;No;0230-UBYPQ;No
DSL;Yes;Yes;Yes;Yes;Yes;No;0230-WEQUW;No
Fiber optic;No;No;No;Yes;No;No;0231-LXVAP;Yes
Fiber optic;No;No;Yes;No;No;No;0233-FTHAV;No
DSL;Yes;No;Yes;No;No;Yes;0234-TEVTT;No
Fiber optic;No;No;Yes;No;Yes;No;0235-KGSLC;Yes
Fiber optic;No;No;No;No;Yes;Yes;0236-HFWSV;Yes
Fiber optic;Yes;Yes;No;Yes;Yes;Yes;0237-YFUTL;No
DSL;Yes;Yes;Yes;Yes;Yes;Yes;0238-WHBIQ;No
Fiber optic;Yes;Yes;No;No;No;No;0239-OXEXL;No
DSL;Yes;Yes;Yes;Yes;Yes;Yes;0244-LGNFY;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0247-SLUJI;No
DSL;No;No;No;No;No;No;0248-IPDFW;No
Fiber optic;Yes;Yes;No;Yes;Yes;No;0248-PGHBZ;No
DSL;No;Yes;No;Yes;Yes;Yes;0253-ZTEOB;No
Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;0254-FNMCI;No
DSL;Yes;Yes;Yes;Yes;No;Yes;0254-KCJGT;No
DSL;No;Yes;No;No;No;No;0254-WWRKD;No
Fiber optic;No;No;No;No;No;Yes;0256-LTHVJ;Yes
DSL;No;Yes;Yes;No;No;No;0257-KXZGU;No
Fiber optic;Yes;No;No;No;No;No;0257-ZESQC;Yes
Fiber optic;No;Yes;Yes;No;No;Yes;0258-NOKBL;No
Fiber optic;No;No;No;No;Yes;No;0259-GBZSH;Yes
DSL;No;No;Yes;Yes;Yes;Yes;0260-ZDLGK;Yes
DSL;Yes;No;No;Yes;Yes;No;0263-FJTQO;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0264-CNITK;No
Fiber optic;No;No;No;No;No;No;0265-EDXBD;Yes
Fiber optic;Yes;No;Yes;No;Yes;Yes;0265-PSUAE;No
Fiber optic;No;No;Yes;Yes;Yes;Yes;0266-CLZKZ;No
Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;0266-GMEAO;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0268-QKIWO;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0269-XFESX;No
DSL;Yes;Yes;Yes;Yes;No;No;0270-THENM;No
DSL;Yes;Yes;Yes;No;Yes;Yes;0274-JKUJR;No
DSL;No;No;No;No;Yes;No;0277-BKSQP;No
DSL;No;No;No;Yes;Yes;Yes;0277-ORXQS;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0278-YXOOG;Yes
Fiber optic;No;Yes;Yes;No;Yes;Yes;0280-XJGEX;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0281-CNTZX;No
DSL;No;No;No;Yes;No;No;0282-NVSJS;No
DSL;Yes;Yes;No;No;No;No;0285-INHLN;No
DSL;Yes;Yes;Yes;No;No;No;0289-IVARM;No
DSL;No;Yes;Yes;Yes;Yes;Yes;0292-WEGCH;No
Fiber optic;No;No;No;No;Yes;Yes;0295-PPHDO;Yes
DSL;No;No;Yes;Yes;Yes;No;0295-QVKPB;No
DSL;No;Yes;No;Yes;No;Yes;0297-RBCSG;No
DSL;No;Yes;Yes;Yes;Yes;No;0298-XACET;No
DSL;Yes;Yes;Yes;Yes;Yes;Yes;0301-FIDRB;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0301-KOBTQ;No
Fiber optic;No;Yes;Yes;No;Yes;Yes;0302-JOIVN;Yes
DSL;No;No;Yes;No;No;Yes;0303-UNCIP;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0303-WMMRN;No
DSL;Yes;No;No;Yes;No;No;0305-SQECB;No
Fiber optic;No;No;No;Yes;Yes;Yes;0306-JAELE;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0307-BCOPK;No
Fiber optic;No;Yes;No;Yes;Yes;Yes;0308-GIQJT;No
DSL;No;Yes;Yes;Yes;No;No;0308-IVGOK;No
Fiber optic;No;Yes;No;No;Yes;Yes;0310-MVLET;Yes
DSL;Yes;Yes;Yes;Yes;Yes;Yes;0310-SUCIN;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0310-VQXAM;No
DSL;Yes;No;No;No;No;No;0311-QYWSS;No
Fiber optic;No;No;No;No;Yes;Yes;0311-UNPFF;Yes
DSL;Yes;Yes;No;No;No;No;0314-TKOSI;No
Fiber optic;No;No;Yes;No;No;Yes;0315-LVCRK;No
Fiber optic;No;No;No;No;Yes;No;0318-QUUOB;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0318-ZOPWS;No
DSL;No;Yes;No;No;Yes;No;0319-QZTCO;No
Fiber optic;Yes;Yes;Yes;Yes;No;Yes;0320-DWVTU;No
Fiber optic;Yes;No;No;Yes;Yes;Yes;0320-JDNQG;Yes
DSL;No;No;No;No;No;No;0322-CHQRU;Yes
DSL;Yes;No;No;No;No;No;0322-YINQP;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0323-XWWTN;No
Fiber optic;No;Yes;No;No;Yes;Yes;0324-BRPCJ;Yes
Fiber optic;No;No;Yes;No;Yes;Yes;0325-XBFAC;Yes
Fiber optic;No;No;Yes;No;Yes;Yes;0326-VDYXE;No
Fiber optic;No;No;Yes;No;Yes;Yes;0327-WFZSY;No
Fiber optic;No;No;No;No;No;No;0328-GRPMV;Yes
Fiber optic;No;Yes;No;Yes;Yes;Yes;0329-GTIAJ;Yes
Fiber optic;No;Yes;Yes;No;Yes;Yes;0330-BGYZE;No
Fiber optic;No;No;No;No;No;No;0330-IVZHA;Yes
Fiber optic;No;Yes;No;No;No;No;0334-GDDSO;Yes
DSL;Yes;Yes;No;Yes;No;No;0334-ZFJSR;No
DSL;Yes;No;Yes;Yes;Yes;Yes;0336-KXKFK;No
DSL;Yes;Yes;Yes;Yes;Yes;No;0336-PIKEI;No
Fiber optic;No;Yes;Yes;No;Yes;Yes;0337-CNPZE;Yes
DSL;Yes;Yes;Yes;No;No;No;0343-QLUZP;No
Fiber optic;No;No;No;No;Yes;Yes;0345-HKJVM;Yes
Fiber optic;No;Yes;Yes;Yes;Yes;Yes;0345-XMMUG;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0347-UBKUZ;No
Fiber optic;No;No;Yes;Yes;Yes;Yes;0348-SDKOL;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0354-VXMJC;No
Fiber optic;No;No;Yes;Yes;Yes;Yes;0354-WYROK;Yes
DSL;No;No;No;No;No;No;0356-ERHVT;No
Fiber optic;No;Yes;Yes;Yes;Yes;No;0356-OBMAC;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0357-NVCRI;No
DSL;Yes;Yes;Yes;Yes;Yes;Yes;0361-HJRDX;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0362-RAOQO;No
Fiber optic;No;No;No;No;No;Yes;0362-ZBZWJ;Yes
Fiber optic;Yes;Yes;No;Yes;Yes;Yes;0363-QJVFX;Yes
DSL;Yes;Yes;Yes;Yes;Yes;Yes;0363-SVHYR;No
Fiber optic;No;Yes;Yes;No;Yes;Yes;0365-BZUWY;No
Fiber optic;No;No;Yes;Yes;No;No;0365-GXEZS;No
Fiber optic;Yes;Yes;Yes;No;No;No;0365-TRTPY;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0366-NQSHS;No
Fiber optic;No;No;No;No;No;No;0369-ZGOVK;No
DSL;Yes;Yes;Yes;No;No;No;0373-AIVNJ;No
DSL;Yes;No;No;No;No;No;0374-AACSZ;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0374-FIUCA;No
DSL;No;No;No;No;No;No;0374-IOEGQ;No
DSL;No;No;No;No;Yes;No;0375-HVGXO;Yes
Fiber optic;Yes;No;No;No;Yes;Yes;0376-OIWME;No
Fiber optic;No;No;No;Yes;Yes;No;0376-YMCJC;Yes
DSL;Yes;Yes;No;Yes;No;No;0377-JBKKT;No
Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;0378-CJKPV;No
Fiber optic;No;No;Yes;No;Yes;No;0378-NHQXU;Yes
Fiber optic;No;No;No;Yes;No;Yes;0378-TOVMS;Yes
DSL;Yes;Yes;Yes;No;No;No;0378-XSZPU;Yes
DSL;Yes;Yes;Yes;No;Yes;Yes;0379-DJQHR;No
Fiber optic;No;Yes;Yes;No;Yes;Yes;0380-NEAVX;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0380-ZCSBI;No
DSL;Yes;No;Yes;Yes;Yes;Yes;0383-CLDDA;No
DSL;Yes;Yes;Yes;No;Yes;Yes;0384-LPITE;No
DSL;Yes;No;Yes;No;No;Yes;0384-RVBPI;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0386-CWRGM;No
Fiber optic;Yes;No;No;No;No;No;0388-EOPEX;Yes
Fiber optic;No;No;No;No;No;No;0390-DCFDQ;Yes
Fiber optic;Yes;No;Yes;No;Yes;Yes;0392-BZIUW;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0394-YONDK;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0396-HUJBP;No
DSL;No;Yes;No;Yes;No;No;0396-UKGAI;No
Fiber optic;No;No;No;No;Yes;Yes;0396-YCHWO;No
Fiber optic;No;No;No;No;Yes;Yes;0397-GZBBC;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0397-ZXWQF;No
Fiber optic;Yes;No;Yes;No;Yes;Yes;0401-WDBXM;No
Fiber optic;No;Yes;Yes;No;Yes;Yes;0402-CQAJN;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0402-OAMEN;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0404-AHASP;No
Fiber optic;No;No;No;No;No;No;0404-SWRVG;Yes
Fiber optic;No;Yes;No;No;Yes;Yes;0406-BPDVR;Yes
Fiber optic;No;Yes;Yes;No;Yes;No;0407-BDJKB;Yes
Fiber optic;Yes;Yes;Yes;No;Yes;Yes;0409-WTMPL;No
Fiber optic;No;Yes;No;No;No;Yes;0410-IPFTY;No
DSL;No;No;No;No;Yes;No;0411-EZJZE;No
DSL;Yes;No;Yes;Yes;No;No;0412-UCCNP;No
DSL;No;No;No;No;No;No;0415-MOSGF;Yes
Fiber optic;No;Yes;No;No;Yes;No;0419-YAAPX;No
DSL;No;No;No;No;No;No;0420-BWTPW;Yes
Fiber optic;No;No;Yes;No;Yes;Yes;0420-HLGXF;No
DSL;Yes;Yes;Yes;No;No;No;0420-TXVSG;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0422-OHQHQ;No
Fiber optic;No;No;Yes;No;Yes;Yes;0422-UXFAP;No
DSL;No;No;No;Yes;No;No;0423-UDIJQ;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0426-TIRNE;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0428-AXXLJ;No
Fiber optic;No;No;Yes;No;Yes;No;0428-IKYCP;No
DSL;No;No;No;No;No;No;0430-IHCDJ;No
Fiber optic;No;No;No;No;Yes;Yes;0431-APWVY;Yes
Fiber optic;No;No;No;No;Yes;Yes;0432-CAJZV;No
Fiber optic;No;No;Yes;No;Yes;Yes;0434-CSFON;No
DSL;Yes;No;Yes;Yes;Yes;Yes;0436-TWFFZ;No
Fiber optic;No;Yes;No;No;No;No;0439-IFYUN;No
DSL;No;Yes;Yes;Yes;No;No;0440-EKDCF;No
DSL;No;Yes;Yes;No;Yes;Yes;0440-MOGPM;No
DSL;No;No;No;No;No;No;0440-QEXBZ;No
Fiber optic;No;Yes;Yes;Yes;No;Yes;0440-UEDAI;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0442-TDYUO;No
Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;0442-ZXKVS;No
DSL;Yes;No;Yes;No;No;Yes;0447-BEMNG;Yes
Fiber optic;No;Yes;No;No;Yes;Yes;0447-RXSGD;No
Fiber optic;No;Yes;No;Yes;No;No;0454-OKRCT;No
DSL;Yes;Yes;No;Yes;Yes;Yes;0455-ENTCR;No
Fiber optic;No;No;No;No;No;No;0455-XFASS;No
DSL;No;No;Yes;Yes;No;No;0458-HEUZG;No
DSL;Yes;Yes;Yes;No;Yes;Yes;0459-SPZHJ;No
Fiber optic;No;Yes;Yes;Yes;No;No;0461-CVKMU;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0463-TXOAK;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0463-WZZKO;No
DSL;No;No;No;No;No;Yes;0463-ZSDNT;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0464-WJTKO;No
Fiber optic;No;No;Yes;Yes;Yes;Yes;0468-YRPXN;No
Fiber optic;Yes;No;Yes;No;Yes;Yes;0471-ARVMX;No
DSL;No;No;Yes;No;Yes;Yes;0471-LVHGK;Yes
Fiber optic;No;Yes;No;No;No;No;0475-RIJEP;Yes
Fiber optic;No;Yes;Yes;Yes;Yes;Yes;0479-HMSWA;No
Fiber optic;No;No;Yes;No;Yes;Yes;0480-BIXDE;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0480-KYJVA;No
Fiber optic;No;No;Yes;No;Yes;Yes;0481-SUMCB;No
DSL;No;No;No;No;Yes;Yes;0484-FFVBJ;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0484-JPBRU;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0485-ZBSLN;No
Fiber optic;Yes;Yes;No;No;Yes;No;0486-HECZI;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0486-LGCCH;No
DSL;No;No;Yes;Yes;Yes;Yes;0487-CRLZF;No
Fiber optic;Yes;No;Yes;Yes;Yes;No;0487-RPVUM;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0487-VVUVK;No
Fiber optic;No;No;No;No;No;No;0488-GSLFR;Yes
DSL;No;No;No;Yes;No;No;0489-WMEMG;No
Fiber optic;No;No;No;No;No;No;0491-KAPQG;No
Fiber optic;No;No;No;No;No;Yes;0495-RVCBF;Yes
Fiber optic;No;No;Yes;No;No;No;0495-ZBNGW;Yes
DSL;Yes;No;No;Yes;Yes;Yes;0496-AHOOK;No
Fiber optic;No;No;Yes;No;No;Yes;0504-HHAPI;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0505-SPOOW;No
Fiber optic;No;No;Yes;No;No;No;0506-LVNGN;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0506-YLVKJ;No
Fiber optic;No;No;No;No;No;No;0508-OOLTO;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0508-SQWPL;No
Fiber optic;No;No;No;No;No;No;0511-JTEOY;Yes
Fiber optic;No;No;Yes;No;Yes;Yes;0512-FLFDW;No
DSL;Yes;No;Yes;Yes;No;No;0513-RBGPE;No
Fiber optic;No;No;No;No;No;No;0515-YPMCW;Yes
Fiber optic;No;Yes;Yes;No;Yes;Yes;0516-OOHAR;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0516-QREYC;No
Fiber optic;Yes;Yes;Yes;No;No;No;0516-UXRMT;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0516-VRYBW;Yes
DSL;Yes;No;No;Yes;No;No;0516-WJVXC;Yes
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0519-DRGTI;No
Fiber optic;No;No;No;No;No;No;0519-XUZJU;Yes
Fiber optic;No;Yes;Yes;No;Yes;Yes;0520-FDVVT;Yes
DSL;No;Yes;Yes;Yes;Yes;No;0523-VNGTF;No
Fiber optic;No;No;No;No;No;Yes;0524-IAVZO;Yes
DSL;Yes;Yes;Yes;No;No;No;0526-SXDJP;No
Fiber optic;No;No;No;No;No;No;0529-ONKER;Yes
Fiber optic;Yes;Yes;Yes;Yes;Yes;Yes;0530-IJVDB;No
DSL;Yes;Yes;No;Yes;No;No;0531-XBKMM;No
Fiber optic;No;No;No;No;No;No;0531-ZZJWQ;No
Fiber optic;No;Yes;Yes;No;No;No;0533-BNWKF;Yes
DSL;No;Yes;Yes;No;Yes;No;0533-UCAAU;No
Fiber optic;Yes;Yes;Yes;No;Yes;Yes;0536-ACXIP;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0536-BGFMZ;No
DSL;Yes;Yes;No;No;Yes;Yes;0536-ESJEP;No
Fiber optic;Yes;No;No;No;No;No;0537-QYZZN;No
DSL;Yes;No;No;No;No;Yes;0541-FITGH;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0547-HURJB;No
Fiber optic;No;Yes;No;No;No;No;0549-CYCQN;No
DSL;No;Yes;No;Yes;Yes;Yes;0550-DCXLH;No
DSL;No;Yes;Yes;Yes;Yes;No;0556-FJEGU;No
DSL;No;No;Yes;Yes;No;No;0557-ASKVU;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0559-CKHUS;No
DSL;Yes;Yes;No;Yes;Yes;No;0562-FGDCR;No
No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;0562-HKHML;No
DSL;Yes;Yes;Yes;Yes;No;No;0562-KBDVM;No
